Date,Open,High,Low,Close,Adj Close,Volume
2009-07-21,96.160004,96.209999,94.720001,95.790001,75.783440,3620300
2009-07-22,95.330002,96.419998,95.199997,95.839996,75.823021,3557700
2009-07-23,95.930000,98.389999,95.849998,97.959999,77.500221,2916100
2009-07-24,97.430000,98.440002,97.000000,98.389999,77.840431,8785100
2009-07-27,98.239998,98.730003,97.660004,98.669998,78.061943,5628000
2009-07-28,97.980003,98.680000,97.379997,98.410004,77.856262,3002100
2009-07-29,97.739998,98.239998,97.290001,97.930000,77.476494,3677600
2009-07-30,99.160004,100.139999,98.910004,98.949997,78.283463,3260100
2009-07-31,99.010002,99.760002,98.709999,99.169998,78.457512,3430900
2009-08-03,100.150002,100.849998,99.639999,100.669998,79.644226,3324700
2009-08-04,100.300003,101.160004,100.110001,100.980003,79.889496,3249700
2009-08-05,101.110001,101.169998,99.910004,100.690002,79.660042,3038100
2009-08-06,101.180000,101.320000,99.750000,100.230003,79.296112,2798200
2009-08-07,101.279999,102.349998,100.709999,101.489998,80.292976,2578800
2009-08-10,101.059998,101.540001,100.610001,101.339996,80.174286,2760500
2009-08-11,100.879997,100.930000,99.779999,100.000000,79.114189,5343600
2009-08-12,99.849998,101.879997,99.849998,101.120003,80.000237,2590800
2009-08-13,101.580002,101.930000,100.580002,101.879997,80.601509,5157200
2009-08-14,101.889999,101.919998,100.010002,101.050003,79.944885,3872600
2009-08-17,99.150002,99.250000,98.430000,98.570000,77.982826,2980300
2009-08-18,98.879997,99.760002,98.669998,99.519997,78.734444,5600000
2009-08-19,98.660004,100.620003,98.589996,100.300003,79.351501,7211700
2009-08-20,100.379997,101.540001,100.209999,101.309998,80.150566,2216900
2009-08-21,102.169998,103.459999,101.949997,103.279999,81.709114,1940800
2009-08-24,103.720001,104.279999,102.930000,103.269997,81.701187,1972500
2009-08-25,103.730003,104.489998,103.269997,103.500000,81.883186,2973000
2009-08-26,103.160004,103.949997,102.820000,103.459999,81.851501,2647700
2009-08-27,103.370003,104.050003,102.279999,103.779999,82.104668,1798500
2009-08-28,104.570000,104.669998,103.000000,103.730003,82.065094,2488400
2009-08-31,102.669998,102.889999,102.150002,102.800003,81.329361,2699700
2009-09-01,102.290001,103.660004,100.300003,100.500000,79.509712,3501500
2009-09-02,100.080002,100.760002,99.889999,100.110001,79.201202,2553800
2009-09-03,100.699997,101.089996,99.940002,100.919998,79.842003,1518000
2009-09-04,101.199997,102.430000,100.870003,102.360001,80.981270,2243100
2009-09-08,103.330002,103.379997,102.739998,103.269997,81.701187,1506900
2009-09-09,103.440002,104.419998,103.150002,104.059998,82.326164,1701500
2009-09-10,104.099998,105.199997,103.570000,105.089996,83.141068,2480300
2009-09-11,105.349998,105.650002,104.639999,105.139999,83.180618,1538200
2009-09-14,104.209999,105.809998,104.209999,105.709999,83.631577,6769100
2009-09-15,105.790001,106.459999,105.120003,106.040001,83.892647,3379100
2009-09-16,106.459999,107.699997,106.099998,107.660004,85.174294,2498800
2009-09-17,107.529999,108.419998,106.949997,107.529999,85.071457,3387300
2009-09-18,108.019997,108.040001,107.250000,107.599998,85.126839,3572600
2009-09-21,106.800003,107.580002,106.550003,107.290001,84.881607,7399900
2009-09-22,107.980003,108.239998,107.480003,107.940002,85.395836,2065600
2009-09-23,107.699997,108.370003,106.360001,106.559998,84.716080,3701300
2009-09-24,106.720001,106.980003,104.910004,105.320000,83.730278,4716100
2009-09-25,105.110001,105.699997,104.430000,104.860001,83.364594,4080900
2009-09-28,105.230003,106.879997,105.180000,106.620003,84.763794,3114200
2009-09-29,106.849998,107.349998,106.129997,106.320000,84.525307,3226500
2009-09-30,106.699997,106.790001,104.970001,106.010002,84.278839,3298900
2009-10-01,105.669998,106.599998,103.279999,103.320000,82.140259,6260200
2009-10-02,102.379997,103.419998,102.330002,102.849998,81.766632,2994800
2009-10-05,103.209999,104.650002,102.949997,104.349998,82.959114,2239100
2009-10-06,105.120003,106.470001,105.059998,105.800003,84.111893,2763000
2009-10-07,105.629997,106.250000,105.440002,106.110001,84.358315,2880100
2009-10-08,106.900002,107.519997,106.519997,106.919998,85.002281,2044800
2009-10-09,106.940002,107.589996,106.709999,107.550003,85.503159,1849200
2009-10-12,108.129997,108.430000,107.629997,108.029999,85.884758,1446100
2009-10-13,107.760002,108.010002,107.129997,107.830002,85.725731,6010700
2009-10-14,109.089996,109.769997,108.620003,109.699997,87.212418,3052300
2009-10-15,109.169998,110.070000,109.080002,110.070000,87.506569,2924500
2009-10-16,109.080002,109.620003,108.580002,109.250000,86.854652,2242400
2009-10-19,109.459999,110.480003,109.099998,110.169998,87.586075,2097000
2009-10-20,110.300003,110.339996,109.040001,109.629997,87.156761,3112100
2009-10-21,109.400002,110.660004,108.510002,108.559998,86.306091,3741400
2009-10-22,108.559998,110.010002,107.849998,109.639999,87.164711,4915300
2009-10-23,110.059998,110.750000,108.000000,108.459999,86.226578,4828000
2009-10-26,108.570000,109.660004,106.970001,107.190002,85.216957,5500600
2009-10-27,107.400002,107.739998,106.300003,106.769997,84.883041,5870500
2009-10-28,106.480003,106.809998,104.690002,104.760002,83.285065,5355900
2009-10-29,105.529999,107.190002,104.750000,106.959999,85.034081,4557600
2009-10-30,106.680000,106.970001,103.769997,103.970001,82.657028,6859400
2009-11-02,104.400002,105.739998,103.419998,104.629997,83.181717,5511800
2009-11-03,104.059998,105.120003,103.889999,104.970001,83.452042,5351700
2009-11-04,105.839996,106.660004,104.980003,105.099998,83.555359,5923700
2009-11-05,106.000000,107.209999,105.790001,107.160004,85.193123,3062600
2009-11-06,106.589996,107.739998,106.400002,107.510002,85.471344,3510400
2009-11-09,108.349998,109.959999,108.230003,109.919998,87.387329,2704200
2009-11-10,109.660004,110.279999,109.330002,109.889999,87.363464,3266800
2009-11-11,110.680000,111.169998,109.970001,110.480003,87.832512,5195600
2009-11-12,110.349998,110.940002,109.099998,109.370003,86.950073,4824100
2009-11-13,109.669998,110.440002,109.120003,110.019997,87.466827,4185400
2009-11-16,110.750000,112.050003,110.680000,111.550003,88.683151,4267100
2009-11-17,111.290001,111.739998,110.870003,111.650002,88.762711,3015700
2009-11-18,111.639999,111.800003,110.940002,111.620003,88.738823,3524500
2009-11-19,110.879997,110.900002,109.500000,110.129997,87.554268,4135300
2009-11-20,109.610001,110.110001,109.360001,109.889999,87.363464,3529700
2009-11-23,111.089996,112.120003,110.970001,111.239998,88.436745,3140300
2009-11-24,111.389999,111.500000,110.459999,111.290001,88.476471,3996600
2009-11-25,111.519997,111.860001,111.199997,111.709999,88.810387,2885600
2009-11-27,108.720001,110.669998,108.620003,109.970001,87.427063,3062800
2009-11-30,109.849998,110.500000,109.370003,110.300003,87.689430,4405400
2009-12-01,111.260002,112.019997,111.099998,111.580002,88.707024,3674400
2009-12-02,111.660004,112.379997,111.279999,111.699997,88.802414,2847200
2009-12-03,111.900002,112.550003,110.650002,110.760002,88.055092,3257000
